date,slhf,mslp,snsr,sntr,sshf,w10u,w10v,z500,z500windu,z500windv,z850,z850windu,z850windv,sst
2011-10-10,-332201.51045885286,100932.25553451017,725597.973442388,-179662.14539392374,-12424.983584351916,12.647296287809008,-2.2173772849250972,57308.89533472759,-5.162219668308088,0.695106101095131,14773.060309369419,17.013410346717908,-6.994309152111826,28.340833033333336
2011-10-11,-352539.9648665559,100934.91078843785,707560.5446294234,-172287.19869658546,-14798.792059471307,12.592741813335826,-2.0959883547415448,57310.342453611156,-5.004940217148095,0.7744117006276817,14776.80511798445,16.88314911308252,-6.412519233855776,28.317665966666667
2011-10-12,-363308.0888468406,100928.45114332109,701852.0782384449,-168844.90955345656,-18336.23214004139,12.83796048997964,-2.1018981416841283,57304.46404413496,-4.526583293644134,0.8334262190298342,14772.542624875063,17.101336679421802,-6.720443091543549,28.289999466666668
2011-10-13,-338547.012090092,100921.46105929244,703998.5499336214,-172810.58201059012,-11614.320232554575,12.582835384271862,-2.299494727683739,57304.34958275434,-4.824466784274867,1.0402868209355411,14770.545841825397,16.511419581990033,-7.2607874041943115,28.203916200000002
2011-10-14,-359009.65245143673,100903.83232698734,737792.229307372,-174460.35613024485,-13848.492915019933,12.72963484007554,-2.4530538690466783,57289.5595372155,-4.39772783968173,0.7212056978162927,14752.305867368348,16.725796314366576,-7.715580894579613,28.150665733333334
2011-10-15,-339496.4337356752,100956.76691316038,704826.6640135504,-173044.5994107295,-7851.911374930688,12.714014935644453,-2.539603652012258,57316.760466738844,-4.392270432219793,0.8887232874538981,14798.884025510048,16.875458157266813,-7.5407114677209375,28.149166033333337
2011-10-16,-349575.52597317385,100950.81623753201,712736.8097050341,-171547.27646046018,-10745.475300484717,12.726271261835219,-2.3191781309683117,57326.00731113045,-5.074446364961933,0.8126704566521743,14792.584410299485,16.68207565563044,-7.329641779281884,28.05883263333333
2011-10-17,-350428.8036546473,100958.79325690794,734265.5674789802,-177893.9060343644,-12017.712522444164,12.349504422504804,-2.0330300599741817,57324.36397273725,-6.1628201669890865,0.8116636472831088,14796.914135161387,16.327113793973997,-6.89582966499623,28.1170827
2011-10-18,-377485.31755451456,100978.0117551701,726660.1677689104,-179710.69672175348,-12083.651646753036,12.334852122772988,-2.5326453544830874,57318.29751956432,-5.943311111297837,0.2463014631155085,14811.22777527162,16.039153322171504,-8.164168625836849,28.2563329
2011-10-19,-408331.5060397052,100968.69401063124,734473.1480750157,-174185.5556147285,-20997.069744505312,12.314025583531535,-2.897955974764567,57320.36600022841,-6.090964302073582,-0.10956692541190556,14799.448772231166,15.9040419362199,-8.965376456120897,28.288332933333333
2011-10-20,-447009.4216013306,100950.40928624594,669465.0886484672,-170643.2507362703,-27660.800071719594,12.357245260098972,-3.046224903622452,57300.94844458732,-6.081868622970352,-0.4830932013352392,14777.692577117636,15.778838718571416,-9.640252761297912,28.1868328
2011-10-21,-421683.49905543774,100926.99245501921,661925.9380647917,-168155.4806982742,-27013.04514468537,12.291402064134296,-2.8094998089142833,57288.88912055758,-6.805505692958041,0.33025387512067006,14754.658978706339,15.716202465802057,-8.642159834867533,28.046416366666666
2011-10-22,-408864.30384081305,100946.58486937959,656268.2626707157,-167979.7248915305,-19848.953227127324,12.161789110846236,-2.9491423552188807,57295.65869364003,-6.9719566205471235,-0.30326155864521626,14774.384774893946,15.540626951955204,-8.933904391971424,27.9084995
2011-10-23,-404193.3095844842,100944.08114104037,666967.4965834009,-167565.0965518645,-15605.576639250452,12.094655775282531,-2.7252376854103493,57284.6376978488,-6.751841186248993,0.7198891009490531,14774.579746976236,15.540488376174743,-8.179239755147863,27.917666233333332
2011-10-24,-421711.5410449697,100992.79679347698,660174.7528237682,-168195.2927870946,-16637.329996083416,11.972046436960627,-2.7841925761198327,57308.75634590827,-6.340261706827903,0.9042901092371428,14812.948908135975,15.109240547373316,-8.62952668235683,27.911416266666667
2011-10-25,-418286.4123235622,101023.24077252428,673510.7019669481,-174519.58875019714,-18553.443373058864,11.995268949743128,-2.88713725189387,57317.087499254914,-5.8462147368708735,0.5028055116036035,14832.70832019984,15.070439328843626,-8.509918062971872,27.923166
2011-10-26,-399438.1893595593,101057.37279196539,699217.5713121634,-177794.86132559174,-15590.061551177781,12.034387825442227,-2.8886623582016338,57340.45397252743,-5.961426672178434,-0.2581874776608951,14864.663572169748,15.309205398581689,-8.398657667175858,27.83749956666667
2011-10-27,-427107.6210306258,101056.28431631456,715757.769868616,-179856.3507052427,-14686.307670944409,12.139626355591506,-3.0928359651534745,57345.88271229404,-6.03343413174566,-0.7677104652826269,14859.170737989352,15.315372020812303,-9.562311381772817,27.8117494
2011-10-28,-460561.71454229177,101014.12319484369,669429.7557810569,-173547.59116704564,-12847.769734332342,11.929794365092459,-3.233574681616777,57325.99913531756,-6.443649259301266,-0.6689657002396555,14824.768250227937,14.907197059457996,-9.66441089504645,27.753999333333336
2011-10-29,-458935.2791494362,101022.81607566487,659229.5986205424,-173046.54146384267,-14399.278541599913,11.754980449424174,-3.3015848910286056,57322.663403653736,-6.838629124358965,0.6214541234042559,14828.102945152634,14.429872783652565,-9.517097993839775,27.747416199999996
2011-10-30,-454304.344878153,101025.20449690343,668703.2236949324,-172837.77075417477,-18328.474596005082,11.968728935134553,-3.2999168060044894,57325.34507028544,-6.491932155874238,0.6558405357015729,14824.042147300788,15.012861092061174,-9.42992185370744,27.60791593333333
2011-10-31,-457885.70754123875,101018.50405280465,686281.3252315628,-173096.063818229,-15407.759266323841,12.199018853561046,-3.2050265979183283,57317.872377293446,-5.789669931779135,1.1647439483269566,14815.584392834524,15.695346810842347,-9.020785019764329,27.535582933333334
2011-11-01,-439758.5643080585,101065.69077212557,659865.5902339281,-170223.76726382133,-16730.420524519435,11.811424056881647,-3.3510555268866855,57347.264424674395,-6.935119120179048,1.129660514158748,14860.945656255722,14.524520041708918,-9.405024939110323,27.419082933333335
2011-11-02,-433493.1826469108,101113.30927606767,637510.9266842661,-165022.94902669906,-21757.30906006645,11.686695203504193,-3.3775065894119587,57361.55574562625,-7.091564800754578,1.429922046763924,14895.348144017134,14.092510046114946,-9.290144517156273,27.3008328
2011-11-03,-426522.7452489585,101108.07579339268,672106.2204873881,-166298.87792206474,-20023.497967944895,11.72903942820086,-3.442990841501555,57361.52304237464,-6.396427525290338,1.1477830828019284,14886.991237179645,14.180852106160224,-8.812227186210444,27.211499633333336
2011-11-04,-424712.03392489284,101111.3623830649,643859.8012970566,-166922.27697139868,-19026.653559275488,11.908829596608257,-3.334994251083051,57366.1832557285,-6.39718549854894,1.052523427113415,14890.749492145178,14.360238453969815,-8.851087058845707,27.21716603333333
2011-11-05,-395644.5087757313,101078.38838369917,630000.4840553615,-165442.43249914804,-16967.025617627736,12.171511234253199,-3.2324785114580714,57342.84948570758,-6.724705743591028,0.680778429304582,14864.045040046618,14.980572935213253,-9.021302166358335,27.212416166666667
2011-11-06,-371015.6299696336,101060.0545929349,664827.6498008637,-163051.7651168114,-7068.399427260567,11.914543071975379,-3.2459185107952373,57340.18417070169,-7.276661870505279,0.9234969341239325,14858.471527763206,14.818300696290866,-8.910928307580614,27.2165828
2011-11-07,-362090.2653014512,101038.96983298518,661760.315248806,-166896.05925437063,-8018.698571711984,11.95191104393294,-3.2046453213413875,57333.929673832026,-6.8766793819408045,1.0774613207164243,14837.777594339397,14.916620212529494,-8.698676569783835,27.2075829
2011-11-08,-353473.3625181207,101037.40575877033,655384.9409854579,-164399.54997736512,-3736.5342636534597,12.11018352688512,-3.118143197947925,57332.42532425815,-5.681886134405878,1.370442847114511,14837.582622257107,15.569450714291547,-8.571827898082802,27.10574976666667
2011-11-09,-389903.9129186822,101054.0084690911,642733.5661483529,-164720.95976759805,-9356.874917980249,12.145293754544381,-3.5170538165723206,57319.2459138609,-5.09862571191135,0.6838763042863223,14842.16110460331,15.534044602383203,-9.85789759928932,27.0837495
2011-11-10,-429979.9219584027,101025.50316166384,616116.8754673221,-170799.5860118821,-17785.44651346142,12.158886296748424,-3.8383269922171293,57301.10378503244,-5.217475918860202,0.6359366889438917,14812.82789098145,15.398794640651138,-10.871652679709575,27.072749766666664
2011-11-11,-481593.20669128536,101010.62637337111,625511.0015900385,-169372.17697368757,-14891.882587907377,11.881321977300411,-3.2996308485717845,57285.69237771308,-5.571828417256812,1.8477479349261434,14792.302036938927,14.99394549802795,-8.829957926576343,27.103665966666664
2011-11-12,-392563.8959257168,101117.47157349664,628207.3410342882,-171507.4643716398,-5598.3448323745515,11.903576885383643,-3.0660036260512604,57342.85766152049,-5.216187364320577,2.0191378682909242,14891.294069340542,14.842551457871922,-7.834746245455422,27.146166233333336
2011-11-13,-372730.19732958975,101139.28756082867,683637.9850884287,-177355.95732201083,-567.5775248093958,11.963660529566946,-3.390946588749125,57355.71003940166,-5.665665506671787,0.8569700688910602,14913.641903876198,15.25128072234808,-8.382404488507119,27.1219162
2011-11-14,-349247.034095799,101099.79338718847,641344.5427982849,-171045.25573070062,491.32723615074843,11.966286885179251,-3.5660955162813415,57325.92555300144,-6.3566339292137135,0.8956935061628137,14883.286767616122,14.829317470837688,-9.667218262271051,27.026416133333335
2011-11-15,-363892.9646285078,101063.74613127351,648927.8594662233,-168815.77875675872,-746.0010376451731,11.875193814205028,-3.2407236174344183,57303.39301264486,-5.121819693624582,1.1509584046582124,14852.064341748623,15.006348030379405,-8.97933941415904,26.984749299999997
2011-11-16,-350801.36151557235,101102.59038157012,608955.3449040942,-169510.06274472407,-7305.0045203688705,11.978082447227505,-3.205360214923152,57306.54070061194,-5.205954725329446,0.8788875343868727,14879.582298052603,15.380987652861618,-9.305363402637001,26.847749633333333
2011-11-17,-410470.7092411457,101131.45574208557,620833.8132665985,-168496.31101963902,-12494.801480678954,11.675037870698691,-3.442466586208261,57319.40125430603,-5.551742125903849,1.7558184948430011,14897.53317597384,14.37575894138169,-9.582627855108742,26.765582966666667
2011-11-18,-411255.88494804146,101135.94346764252,601535.4427479287,-167167.94669021718,-13670.069402184146,11.468016541468955,-3.5436955173860647,57330.119745019925,-4.79930207208927,1.5879136708326778,14902.178890072559,13.933217186472518,-9.584622563399906,26.71291626666667
2011-11-19,-434682.9642027681,101164.6039647447,633736.934784002,-171154.98173159582,-13926.068355383293,11.361441795306396,-3.666847851737969,57334.70637605767,-5.153881962463462,1.2993466162835716,14920.876040446701,13.846053020561177,-9.995236959040176,26.667665866666663
2011-11-20,-456042.9482291365,101196.26905040658,632537.8255962647,-171690.01736427963,-13146.435179731336,11.488935233538909,-3.7486793370639053,57355.09685343404,-5.620111313829783,1.012793180472596,14942.652405085986,14.266145499035314,-10.010455844520907,26.649332700000002
2011-11-21,-452321.37561839074,101187.12263059366,642472.9862512017,-170314.07273358465,-13247.283252203699,11.570490486763175,-3.947944008087632,57344.46829666208,-5.854931429344801,0.7390959258358428,14933.172727981513,14.154245556311293,-11.11596750633469,26.579333033333334
2011-11-22,-473569.1916866312,101156.8485416407,634648.9644240307,-172259.03892644422,-17785.4465134614,11.404799701116586,-4.211882718474956,57330.07886595542,-5.909581301290031,0.24606912249187804,14903.315106690045,13.618927316382019,-11.58487171092785,26.587582766666667
