date,mslp,slhf,sshf,ssr,str,z500,z850,w10,wz500,wz850,sst
1982-02-06,101551.336,-561862.0,-100380.43,625454.6,-206035.94,57124.223,14852.015,10.997516,14.438585,10.792788,22.182499
1982-02-07,101524.02,-425194.94,633.36707,700999.4,-238814.28,57148.918,14895.062,8.446437,16.953646,6.677995,22.38
1982-02-08,101664.15,-372342.03,-8696.554,608559.2,-199282.53,57208.04,15012.323,8.251629,16.250994,8.672106,22.69
1982-02-09,101585.68,-577980.4,9441.302,766150.1,-234546.31,57270.254,14929.895,10.165322,14.205253,10.96139,22.682499
1982-02-10,101527.08,-478425.56,6299.9775,647015.1,-192856.22,57162.25,14885.443,10.191816,11.654487,8.160327,22.31
1982-02-11,101480.695,-487320.66,-48854.246,646425.2,-143201.8,56975.215,14840.673,10.096972,15.1042185,4.700049,22.1775
1982-02-12,101544.125,-649822.56,-100425.1,492364.47,-118355.586,56901.926,14871.18,11.709084,19.921871,8.747565,22.342499
1982-02-13,101515.7,-652080.6,-83037.31,488751.3,-104430.805,56781.36,14837.235,11.498106,23.906357,6.859411,22.654999
1982-02-14,101656.3,-764920.0,-180794.56,599830.75,-211184.44,56676.273,14848.065,11.176204,23.934912,2.9569862,21.8875
1982-02-15,101774.16,-777446.56,-161596.28,616193.06,-201193.08,56850.918,14916.477,9.65416,20.78655,1.1422995,21.547499
1982-02-16,101831.234,-699928.75,-116235.18,740121.1,-270182.62,57133.652,15006.282,7.931186,19.161234,0.79306614,21.449999
1982-02-17,101730.08,-600976.1,-38501.51,684212.94,-159698.75,57321.152,15024.032,8.716148,16.515776,6.482096,22.599998
1982-02-18,101466.24,-150857.28,12373.36,735406.25,-212804.22,57352.258,14972.058,7.0850706,17.473396,3.3147163,23.2325
1982-02-19,101375.766,-29452.951,-866.75635,802108.8,-204085.75,57394.23,14974.993,0.8287413,18.248444,6.6188903,23.812498
1982-02-20,101382.09,-71094.58,-6559.231,801796.06,-208974.88,57490.965,14960.913,1.0006546,17.514446,7.0490837,24.492498
